CHROM	Position	AC	PolyPhen
1	934690	1	N/A
1	934690	1	N/A
1	934690	1	N/A
1	934708	3	benign
1	934708	3	N/A
1	934708	3	N/A
1	934721	1	N/A
1	934721	1	N/A
1	934721	1	N/A
1	934735	29	possibly
1	934735	29	N/A
1	934735	29	N/A
1	934744	7	probably
1	934744	7	N/A
1	934744	7	N/A
1	934744	1	probably
1	934744	1	N/A
1	934744	1	N/A
1	934745	7	probably
1	934745	7	N/A
1	934745	7	N/A
1	934751	2	N/A
1	934751	2	N/A
1	934751	2	N/A
1	934757	1	N/A
1	934757	1	N/A
1	934757	1	N/A
1	934759	1	probably
1	934759	1	N/A
1	934759	1	N/A
1	934768	2	probably
1	934768	2	N/A
1	934768	2	N/A
1	934770	192	probably
1	934770	192	N/A
1	934770	192	N/A
1	934771	37	probably
1	934771	37	N/A
1	934771	37	N/A
1	934773	9	probably
1	934773	9	N/A
1	934773	9	N/A
1	934774	39	probably
1	934774	39	N/A
1	934774	39	N/A
1	934775	2	N/A
1	934775	2	N/A
1	934775	2	N/A
1	934779	1	probably
1	934779	1	N/A
1	934779	1	N/A
1	934781	1	N/A
1	934781	1	N/A
1	934781	1	N/A
1	934783	2	possibly
1	934783	2	N/A
1	934783	2	N/A
1	934790	1	N/A
1	934790	1	N/A
1	934790	1	N/A
1	934791	1	benign
1	934791	1	N/A
1	934791	1	N/A
1	934793	1	N/A
1	934793	1	N/A
1	934793	1	N/A
1	934794	1	possibly
1	934794	1	N/A
1	934794	1	N/A
1	934797	26	probably
1	934797	26	N/A
1	934797	26	N/A
1	934798	1	probably
1	934798	1	N/A
1	934798	1	N/A
1	934799	9	N/A
1	934799	9	N/A
1	934799	9	N/A
1	934801	293	benign
1	934801	293	N/A
1	934801	293	N/A
1	934805	2	N/A
1	934805	2	N/A
1	934805	2	N/A
1	934812	3	benign
1	934812	3	N/A
1	934812	3	N/A
1	934817	1	N/A
1	934817	1	N/A
1	934817	1	N/A
1	934830	1	N/A
1	934830	1	N/A
1	934830	1	N/A
1	934833	2	N/A
1	934833	2	N/A
1	934833	2	N/A
1	934837	1	N/A
1	934837	1	N/A
1	934837	1	N/A
1	934838	6	N/A
1	934838	6	N/A
1	934838	6	N/A
1	934838	1	N/A
1	934838	1	N/A
1	934838	1	N/A
1	934845	5	N/A
1	934845	5	N/A
1	934845	5	N/A
1	934846	2	N/A
1	934846	2	N/A
1	934846	2	N/A
1	934848	20	N/A
1	934848	20	N/A
1	934848	20	N/A
1	934851	27	N/A
1	934851	27	N/A
1	934851	27	N/A
1	934855	1	N/A
1	934855	1	N/A
1	934855	1	N/A
1	934858	1	N/A
1	934858	1	N/A
1	934858	1	N/A
1	934866	1	N/A
1	934866	1	N/A
1	934866	1	N/A
1	934868	1	N/A
1	934868	1	N/A
1	934868	1	N/A
1	934869	1	N/A
1	934869	1	N/A
1	934869	1	N/A
1	934870	1	N/A
1	934870	1	N/A
1	934870	1	N/A
1	934871	1	N/A
1	934871	1	N/A
1	934871	1	N/A
1	934875	7	N/A
1	934875	7	N/A
1	934875	7	N/A
1	934878	3	N/A
1	934878	3	N/A
1	934878	3	N/A
1	934883	4	N/A
1	934883	4	N/A
1	934883	4	N/A
1	934888	1	N/A
1	934888	1	N/A
1	934888	1	N/A
1	934896	3	N/A
1	934896	3	N/A
1	934896	3	N/A
1	934898	2	N/A
1	934898	2	N/A
1	934898	2	N/A
1	934907	1	N/A
1	934907	1	N/A
1	934907	1	N/A
1	934907	5	N/A
1	934907	5	N/A
1	934907	5	N/A
1	934911	1	benign
1	934911	1	N/A
1	934911	1	N/A
1	934912	1	benign
1	934912	1	N/A
1	934912	1	N/A
1	934913	2	N/A
1	934913	2	N/A
1	934913	2	N/A
1	934916	3	N/A
1	934916	3	N/A
1	934916	3	N/A
1	934918	1	benign
1	934918	1	N/A
1	934918	1	N/A
1	934920	2	probably
1	934920	2	N/A
1	934920	2	N/A
1	934922	2	N/A
1	934922	2	N/A
1	934922	2	N/A
1	934923	3	benign
1	934923	3	N/A
1	934923	3	N/A
1	934933	1	probably
1	934933	1	N/A
1	934933	1	N/A
1	934936	1	probably
1	934936	1	N/A
1	934936	1	N/A
1	934937	247	probably
1	934937	247	N/A
1	934937	247	N/A
1	934937	1	probably
1	934937	1	N/A
1	934937	1	N/A
1	934939	1	N/A
1	934939	1	N/A
1	934939	1	N/A
1	934940	9	possibly
1	934940	9	N/A
1	934940	9	N/A
1	934945	2	probably
1	934945	2	N/A
1	934945	2	N/A
1	934946	4	N/A
1	934946	4	N/A
1	934946	4	N/A
1	934951	6	possibly
1	934951	6	N/A
1	934951	6	N/A
1	934952	2	probably
1	934952	2	N/A
1	934952	2	N/A
1	934952	1	probably
1	934952	1	N/A
1	934952	1	N/A
1	934952	3	N/A
1	934952	3	N/A
1	934952	3	N/A
1	934958	1	N/A
1	934958	1	N/A
1	934958	1	N/A
1	934967	1	N/A
1	934967	1	N/A
1	934967	1	N/A
1	934968	1	probably
1	934968	1	N/A
1	934968	1	N/A
1	934974	3	probably
1	934974	3	N/A
1	934974	3	N/A
1	934975	1	N/A
1	934975	1	N/A
1	934975	1	N/A
1	934979	2	N/A
1	934979	2	N/A
1	934979	2	N/A
1	934982	1	possibly
1	934982	1	N/A
1	934982	1	N/A
1	934990	275	probably
1	934990	275	N/A
1	934990	275	N/A
1	934991	2	N/A
1	934991	2	N/A
1	934991	2	N/A
1	934992	2	probably
1	934992	2	N/A
1	934992	2	N/A
1	934995	7	N/A
1	934995	7	N/A
1	934995	7	N/A
1	934999	1	N/A
1	934999	1	N/A
1	934999	1	N/A
1	935000	1	N/A
1	935000	1	N/A
1	935000	1	N/A
1	935006	11	N/A
1	935006	11	N/A
1	935006	11	N/A
1	935007	1	N/A
1	935007	1	N/A
1	935007	1	N/A
1	935009	1	N/A
1	935009	1	N/A
1	935009	1	N/A
1	935015	2	N/A
1	935015	2	N/A
1	935015	2	N/A
1	935017	6	N/A
1	935017	6	N/A
1	935017	6	N/A
1	935018	3	N/A
1	935018	3	N/A
1	935018	3	N/A
1	935020	77	N/A
1	935020	77	N/A
1	935020	77	N/A
1	935025	2	N/A
1	935025	2	N/A
1	935025	2	N/A
1	935032	12	N/A
1	935032	12	N/A
1	935032	12	N/A
1	935037	134	N/A
1	935037	134	N/A
1	935037	134	N/A
1	935046	2714	N/A
1	935046	2714	N/A
1	935046	2714	N/A
1	935051	1	N/A
1	935051	1	N/A
1	935051	1	N/A
1	935052	2	N/A
1	935052	2	N/A
1	935052	2	N/A
1	935053	2	N/A
1	935053	2	N/A
1	935053	2	N/A
1	935059	2	N/A
1	935059	2	N/A
1	935059	2	N/A
1	935060	3	N/A
1	935060	3	N/A
1	935060	3	N/A
1	935062	1	N/A
1	935062	1	N/A
1	935062	1	N/A
1	935065	1	N/A
1	935065	1	N/A
1	935065	1	N/A
1	935069	1	N/A
1	935069	1	N/A
1	935069	1	N/A
1	935069	2	N/A
1	935069	2	N/A
1	935069	2	N/A
1	935071	6	N/A
1	935071	6	N/A
1	935071	6	N/A
1	935080	3	possibly
1	935080	3	N/A
1	935080	3	N/A
1	935081	1	N/A
1	935081	1	N/A
1	935081	1	N/A
1	935085	30	probably
1	935085	30	N/A
1	935085	30	N/A
1	935087	3	N/A
1	935087	3	N/A
1	935087	3	N/A
1	935089	68	probably
1	935089	68	N/A
1	935089	68	N/A
1	935090	198	N/A
1	935090	198	N/A
1	935090	198	N/A
1	935092	6	N/A
1	935092	6	N/A
1	935092	6	N/A
1	935093	2	N/A
1	935093	2	N/A
1	935093	2	N/A
1	935100	3	possibly
1	935100	3	N/A
1	935100	3	N/A
1	935100	2	benign
1	935100	2	N/A
1	935100	2	N/A
1	935105	1	N/A
1	935105	1	N/A
1	935105	1	N/A
1	935105	1	N/A
1	935105	1	N/A
1	935105	1	N/A
1	935106	1	probably
1	935106	1	N/A
1	935106	1	N/A
1	935110	2	N/A
1	935110	2	N/A
1	935110	2	N/A
1	935111	1	N/A
1	935111	1	N/A
1	935111	1	N/A
1	935112	2	possibly
1	935112	2	N/A
1	935112	2	N/A
1	935116	3	probably
1	935116	3	N/A
1	935116	3	N/A
1	935117	1	N/A
1	935117	1	N/A
1	935117	1	N/A
1	935123	1	N/A
1	935123	1	N/A
1	935123	1	N/A
1	935123	1	probably
1	935123	1	N/A
1	935123	1	N/A
1	935128	1	probably
1	935128	1	N/A
1	935128	1	N/A
1	935130	1	probably
1	935130	1	N/A
1	935130	1	N/A
1	935134	1	probably
1	935134	1	N/A
1	935134	1	N/A
1	935137	1	N/A
1	935137	1	N/A
1	935137	1	N/A
1	935138	10	N/A
1	935138	10	N/A
1	935138	10	N/A
1	935142	4	probably
1	935142	4	N/A
1	935142	4	N/A
1	935143	1	probably
1	935143	1	N/A
1	935143	1	N/A
1	935150	3	possibly
1	935150	3	N/A
1	935150	3	N/A
1	935159	1	probably
1	935159	1	N/A
1	935159	1	N/A
1	935162	2	N/A
1	935162	2	N/A
1	935162	2	N/A
1	935163	2	probably
1	935163	2	N/A
1	935163	2	N/A
1	935168	3	N/A
1	935168	3	N/A
1	935168	3	N/A
1	935173	1	benign
1	935173	1	N/A
1	935173	1	N/A
1	935174	2	N/A
1	935174	2	N/A
1	935174	2	N/A
1	935176	1	benign
1	935176	1	N/A
1	935176	1	N/A
1	935180	1	N/A
1	935180	1	N/A
1	935180	1	N/A
1	935184	3	benign
1	935184	3	N/A
1	935184	3	N/A
1	935188	3	N/A
1	935188	3	N/A
1	935188	3	N/A
1	935189	3	N/A
1	935189	3	N/A
1	935189	3	N/A
1	935191	1	benign
1	935191	1	N/A
1	935191	1	N/A
1	935193	2	benign
1	935193	2	N/A
1	935193	2	N/A
1	935199	1	possibly
1	935199	1	N/A
1	935199	1	N/A
1	935201	1	benign
1	935201	1	N/A
1	935201	1	N/A
1	935204	6	N/A
1	935204	6	N/A
1	935204	6	N/A
1	935204	6	N/A
1	935204	6	N/A
1	935204	6	N/A
1	935205	1	benign
1	935205	1	N/A
1	935205	1	N/A
1	935206	3	N/A
1	935206	3	N/A
1	935206	3	N/A
1	935220	1	benign
1	935220	1	N/A
1	935220	1	N/A
1	935221	3	benign
1	935221	3	N/A
1	935221	3	N/A
1	935221	1	benign
1	935221	1	N/A
1	935221	1	N/A
1	935222	64128	benign
1	935222	64128	N/A
1	935222	64128	N/A
1	935228	2	N/A
1	935228	2	N/A
1	935228	2	N/A
1	935229	5	benign
1	935229	5	N/A
1	935229	5	N/A
1	935229	1	benign
1	935229	1	N/A
1	935229	1	N/A
1	935231	3	N/A
1	935231	3	N/A
1	935231	3	N/A
1	935236	2	benign
1	935236	2	N/A
1	935236	2	N/A
1	935238	1	benign
1	935238	1	N/A
1	935238	1	N/A
1	935238	1	benign
1	935238	1	N/A
1	935238	1	N/A
1	935260	1	benign
1	935260	1	N/A
1	935260	1	N/A
1	935264	22	benign
1	935264	22	N/A
1	935264	22	N/A
1	935273	2	N/A
1	935273	2	N/A
1	935273	2	N/A
1	935278	2	benign
1	935278	2	N/A
1	935278	2	N/A
1	935280	85	possibly
1	935280	85	N/A
1	935280	85	N/A
1	935280	1	probably
1	935280	1	N/A
1	935280	1	N/A
1	935281	1	probably
1	935281	1	N/A
1	935281	1	N/A
1	935282	2	N/A
1	935282	2	N/A
1	935282	2	N/A
1	935289	2	benign
1	935289	2	N/A
1	935289	2	N/A
1	935294	2	benign
1	935294	2	N/A
1	935294	2	N/A
1	935327	1	N/A
1	935327	1	N/A
1	935327	1	N/A
1	935336	1	N/A
1	935336	1	N/A
1	935336	1	N/A
1	935339	1	N/A
1	935339	1	N/A
1	935339	1	N/A
1	935342	1	probably
1	935342	1	N/A
1	935342	1	N/A
1	935346	1	probably
1	935346	1	N/A
1	935346	1	N/A
1	935386	13	N/A
1	935386	13	N/A
1	935386	13	N/A
1	935398	252	N/A
1	935398	252	N/A
1	935398	252	N/A
